Thresholding method: Otsu
  1: 106-255
  2: 104-255
  3: 105-255
  4: 101-255
  5: 103-255
  6: 101-255
  7: 100-255
  8: 99-255
  9: 99-255
  10: 99-255
  11: 97-255
  12: 96-255
  13: 92-255
  14: 89-255
  15: 92-255
  16: 85-255
  17: 82-255
  18: 79-255
  19: 82-255
  20: 88-255
  21: 89-255
  22: 86-255
  23: 84-255
  24: 82-255
  25: 84-255
  26: 85-255
  27: 86-255
  28: 88-255
  29: 90-255
  30: 89-255
  31: 89-255
  32: 85-255
  33: 87-255
  34: 91-255
  35: 85-255
  36: 85-255
  37: 82-255
  38: 65-255
  39: 72-255
  40: 81-255
  41: 79-255
  42: 66-255
  43: 55-255
  44: 61-255
  45: 64-255
  46: 71-255
  47: 65-255
  48: 64-255
  49: 74-255
  50: 75-255
  51: 76-255
  52: 67-255
  53: 79-255
  54: 85-255
  55: 82-255
  56: 60-255
  57: 29-255
  58: 14-255
  59: 2-255
  60: 1-255
